date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
2010-02-07 17:00:00+00:00,61.0,28.796,23.896,26.1835,35.03603,29.24783,31.645124,0,0,44411.965,38813.2,8.9,8.9,0.0,15.0,9.885262,25.199999,51.931282,19.06,3.7454891
2010-02-08 17:00:00+00:00,63.0,29.796,24.396,26.475164,36.455208,29.274899,31.911049,0,0,44393.59,39599.91,9.8,9.8,0.0,16.0,12.661564,26.64,80.038956,20.67,4.1481066
2010-02-09 17:00:00+00:00,55.0,30.596,24.296,27.156416,38.2118,29.313663,32.86159,0,0,44375.105,40313.75,3.4,3.4,0.0,6.0,11.384198,25.919998,85.51967,23.26,4.7113523
2010-02-10 17:00:00+00:00,63.0,30.396,24.046,26.931414,37.951942,29.625484,32.754375,0,0,44356.52,36194.754,6.2,6.2,0.0,9.0,9.007196,22.319998,57.42598,22.12,4.4802094
2010-02-11 17:00:00+00:00,63.0,29.246,24.646,26.793913,36.6571,30.23782,32.66643,0,0,44337.867,41419.3,11.100001,11.100001,0.0,12.0,12.758432,28.8,359.32584,21.38,4.225648
2010-02-12 17:00:00+00:00,63.0,27.796,24.246,25.864746,33.992626,29.820202,31.48757,0,0,44319.16,25027.264,17.7,17.7,0.0,20.0,10.636766,29.88,341.00867,14.54,2.9130912
2010-02-13 17:00:00+00:00,55.0,27.696,23.746,25.700163,33.26416,28.708954,31.006866,0,0,44300.414,18186.06,7.9,7.9,0.0,16.0,7.9036193,24.48,277.07343,11.67,2.4011436
2010-02-14 17:00:00+00:00,63.0,29.946,23.346,26.437666,36.646473,27.985909,31.873583,0,0,44281.64,41806.67,17.300001,17.300001,0.0,12.0,11.298495,25.199999,271.70132,21.3,4.2961197
2010-02-15 17:00:00+00:00,63.0,28.996,23.696,26.08558,35.551342,29.04808,31.76345,0,0,44262.7,38154.047,14.2,14.2,0.0,22.0,10.853866,25.919998,296.27417,17.75,3.5203815
2010-02-16 17:00:00+00:00,61.0,28.846,24.346,26.114752,34.73611,29.592518,31.547424,0,0,44243.53,29963.41,8.6,8.6,0.0,20.0,10.990322,23.039999,295.4514,16.24,3.2487907
2010-02-17 17:00:00+00:00,63.0,28.046,24.046,25.408499,34.309223,29.413754,30.78446,0,0,44224.15,19013.998,30.099998,30.099998,0.0,23.0,14.081477,27.359999,292.88074,11.57,2.3522353
2010-02-18 17:00:00+00:00,63.0,27.146,23.946,25.220999,31.591576,28.369736,30.10173,0,0,44204.58,11144.312,21.999998,21.999998,0.0,24.0,10.990322,27.72,262.56866,8.81,1.8996518
2010-02-19 17:00:00+00:00,63.0,28.446,24.196,25.964745,33.345898,28.23616,30.593857,0,0,44184.844,34622.918,9.800001,9.800001,0.0,20.0,15.158522,27.0,267.55298,13.04,2.6962893
2010-02-20 17:00:00+00:00,61.0,29.746,24.096,26.502253,36.08346,28.578495,31.62757,0,0,44164.95,41472.26,5.299999,5.299999,0.0,13.0,12.7279215,27.0,296.49966,22.03,4.367389
2010-02-21 17:00:00+00:00,61.0,29.846,24.396,26.677248,36.309383,28.57217,31.780546,0,0,44144.92,33772.188,2.7,2.7,0.0,6.0,10.661107,27.72,262.76517,18.34,3.7494967
2010-02-22 17:00:00+00:00,61.0,29.496,24.796,26.827248,35.665657,30.087997,32.456303,0,0,44124.785,26730.078,6.4000006,6.4000006,0.0,19.0,8.707237,23.039999,264.64423,15.23,3.1716516
2010-02-23 17:00:00+00:00,63.0,29.896,23.896,26.406416,37.77674,29.278008,32.16763,0,0,44104.55,36046.094,13.8,13.8,0.0,16.0,13.779114,28.44,291.3323,20.72,4.119651
2010-02-24 17:00:00+00:00,53.0,28.046,23.746,25.956413,33.746937,28.952171,31.329554,0,0,44084.234,28978.89,6.7999997,6.7999997,0.0,16.0,13.891522,25.199999,318.19962,15.26,2.999018
2010-02-25 17:00:00+00:00,51.0,30.296,23.846,27.050163,37.409657,28.740097,32.88463,0,0,44063.855,40343.32,0.70000005,0.70000005,0.0,4.0,8.699793,20.16,280.95404,23.95,4.8370404
2010-02-26 17:00:00+00:00,61.0,31.096,24.646,27.29392,38.01218,29.694763,33.080215,0,0,44043.434,41180.402,4.8,4.8,0.0,6.0,9.693296,23.039999,261.78726,23.14,4.7360744
2010-02-27 17:00:00+00:00,63.0,31.096,24.646,27.193914,39.80799,29.745281,33.189312,0,0,44022.98,34157.062,10.4,10.4,0.0,12.0,8.161764,19.44,239.7215,22.08,4.564706
2010-02-28 17:00:00+00:00,63.0,31.296,24.796,27.075165,39.66843,29.55038,32.870815,0,0,44002.516,38780.27,11.200001,11.200001,0.0,6.0,9.449572,21.24,223.9521,23.89,4.8617487
2010-03-01 17:00:00+00:00,63.0,30.696,24.196,26.752249,38.27582,29.61448,32.8565,0,0,43982.06,35509.766,12.900001,12.900001,0.0,14.0,10.041354,25.199999,279.6887,22.44,4.519594
2010-03-02 17:00:00+00:00,53.0,29.696,24.396,26.802248,36.25863,29.88593,32.806896,0,0,43961.62,35981.793,3.7,3.7,0.0,11.0,10.041354,23.4,26.565027,18.33,3.7112517
2010-03-03 17:00:00+00:00,63.0,30.646,24.396,26.948082,39.022717,29.826374,32.933445,0,0,43941.22,34499.13,6.9,6.9,0.0,10.0,9.47012,22.68,235.63464,20.45,4.211312
2010-03-04 17:00:00+00:00,61.0,28.746,24.346,26.32933,34.037518,29.45625,31.884844,0,0,43920.87,18692.217,7.0,7.0,0.0,10.0,10.538843,23.759998,80.42585,13.54,2.7896094
2010-03-05 17:00:00+00:00,61.0,29.896,24.446,26.927252,37.522953,29.755775,32.82893,0,0,43900.59,36000.0,5.7000003,5.7000003,0.0,8.0,11.212135,23.039999,320.97433,19.79,3.9772115
2010-03-06 17:00:00+00:00,61.0,30.146,24.146,26.656418,37.949146,29.658138,32.523476,0,0,43880.395,36017.6,9.399999,9.399999,0.0,17.0,9.339208,24.84,310.88168,19.93,4.040364
2010-03-07 17:00:00+00:00,63.0,30.096,24.346,26.51475,37.568966,29.938229,32.2684,0,0,43860.133,31307.695,13.099999,13.099999,0.0,16.0,7.8625183,19.08,266.2089,18.22,3.744185
2010-03-08 17:00:00+00:00,61.0,29.046,24.496,26.308496,36.184174,29.337326,31.808807,0,0,43839.766,35463.94,15.3,15.3,0.0,18.0,10.315115,24.84,259.16995,18.1,3.6375659
2010-03-09 17:00:00+00:00,63.0,29.096,24.146,25.800165,34.88478,28.804317,30.872744,0,0,43819.305,20032.965,12.9,12.9,0.0,18.0,11.090103,23.039999,253.13524,12.78,2.6572306
2010-03-10 17:00:00+00:00,63.0,28.446,23.896,25.56058,34.192078,28.86863,30.444475,0,0,43798.758,22800.99,9.7,9.7,0.0,14.0,16.992609,32.039997,300.74988,14.98,2.9377313
2010-03-11 17:00:00+00:00,51.0,29.646,23.546,26.529333,35.975334,27.697554,31.614828,0,0,43778.145,41352.59,1.4,1.4,0.0,7.0,9.726665,21.599998,55.81378,21.72,4.375362
2010-03-12 17:00:00+00:00,53.0,30.646,23.946,27.000166,38.028507,28.484188,32.5009,0,0,43757.484,41332.598,1.3000001,1.3000001,0.0,4.0,10.30883,26.28,96.414505,23.51,4.760141
