datetime,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
1980-02-16 17:00:00+00:00,55.0,29.196,22.996,25.910582,35.07812,26.750237,30.519392,0,0,44257.848,41786.098,4.0,4.0,0.0,14.0,14.05845,30.239998,278.12997,22.4,4.3499365
1980-02-17 17:00:00+00:00,61.0,29.146,22.746,25.552252,35.349167,27.106647,30.30587,0,0,44238.39,41510.57,4.7000003,4.7000003,0.0,9.0,15.546833,36.719997,267.5442,21.2,4.076696
1980-02-18 17:00:00+00:00,51.0,27.946,23.296,25.379332,31.914059,27.537989,29.987274,0,0,44218.76,14474.068,3.8,3.8,0.0,16.0,10.739832,25.56,270.63187,11.92,2.4777405
1980-02-19 17:00:00+00:00,61.0,28.696,22.946,25.429329,35.736206,27.403112,30.454325,0,0,44198.984,41735.625,9.299999,9.299999,0.0,18.0,11.631956,30.599998,298.82117,20.97,4.105643
1980-02-20 17:00:00+00:00,61.0,28.146,23.446,25.360582,33.44908,27.77235,30.062218,0,0,44179.074,35700.938,15.500001,15.500001,0.0,20.0,11.269782,28.44,275.1797,16.78,3.325658
1980-02-21 17:00:00+00:00,61.0,27.846,23.746,25.27725,32.4446,28.278866,30.12839,0,0,44159.05,13983.664,18.9,18.9,0.0,22.0,8.404285,24.84,281.38382,11.01,2.298477
1980-02-22 17:00:00+00:00,55.0,26.696,23.446,24.916832,31.530376,28.367958,29.917723,0,0,44138.934,14603.975,10.800001,10.800001,0.0,22.0,14.4,23.4,308.47546,10.54,2.1243489
1980-02-23 17:00:00+00:00,63.0,28.846,23.296,25.8085,35.757534,27.7729,31.091906,0,0,44118.74,29488.904,5.8,5.8,0.0,10.0,9.449572,26.28,268.96466,19.25,3.8329566
1980-02-24 17:00:00+00:00,65.0,28.846,23.296,25.550165,35.11375,28.092094,30.655115,0,0,44098.484,27660.836,19.0,19.0,0.0,15.0,12.181625,25.919998,276.95825,16.33,3.2824516
1980-02-25 17:00:00+00:00,51.0,29.896,23.446,26.160583,35.026268,27.892548,31.011093,0,0,44078.19,22955.53,1.2000002,1.2000002,0.0,8.0,11.384199,23.039999,250.5781,15.72,3.3550298
1980-02-26 17:00:00+00:00,63.0,28.746,23.446,25.871,35.063408,28.325867,31.190607,0,0,44057.875,27081.613,7.5999994,7.5999994,0.0,10.0,11.753877,30.599998,270.73447,18.06,3.5605762
1980-02-27 17:00:00+00:00,63.0,27.746,23.596,25.406418,33.402866,28.85394,30.757952,0,0,44037.55,40704.984,13.700001,13.700001,0.0,19.0,9.565437,25.919998,23.561562,17.11,3.3240855
1980-02-28 17:00:00+00:00,55.0,29.896,22.746,25.95225,37.25786,27.312504,31.4881,0,0,44017.23,32667.701,2.5,2.5,0.0,7.0,7.6367526,19.08,139.13477,20.66,4.1923532
1980-02-29 17:00:00+00:00,53.0,29.796,23.696,26.45225,37.247288,28.515717,32.184525,0,0,43996.94,38536.26,3.0000002,3.0000002,0.0,9.0,11.298495,23.759998,95.30502,21.38,4.298877
1980-03-01 17:00:00+00:00,53.0,28.946,24.546,26.323082,35.01513,29.682419,31.605864,0,0,43976.69,39612.2,4.5999994,4.5999994,0.0,13.0,11.525623,26.28,59.481823,18.3,3.6460185
1980-03-02 17:00:00+00:00,63.0,29.396,24.196,26.162666,36.60348,29.066101,31.716276,0,0,43956.5,38683.832,8.6,8.6,0.0,10.0,10.538843,24.84,122.34746,20.66,4.10311
1980-03-03 17:00:00+00:00,63.0,28.496,23.196,25.660582,35.25327,27.868668,31.085653,0,0,43936.38,40535.03,19.599998,19.599998,0.0,8.0,10.853866,28.08,284.8455,19.62,3.7872467
1980-03-04 17:00:00+00:00,61.0,30.096,22.996,26.125168,38.22721,27.776962,31.719042,0,0,43916.188,37361.26,5.0,5.0,0.0,8.0,9.339208,21.599998,171.86987,23.12,4.615507
1980-03-05 17:00:00+00:00,61.0,28.646,23.596,25.677244,34.986855,27.64882,30.665085,0,0,43895.875,41450.957,6.899999,6.899999,0.0,12.0,11.113451,22.319998,84.2487,20.84,4.0193276
1980-03-06 17:00:00+00:00,63.0,29.046,22.996,25.754332,35.93716,27.752872,31.191864,0,0,43875.453,38370.05,10.3,10.3,0.0,8.0,11.252519,25.56,206.56459,21.06,4.142914
1980-03-07 17:00:00+00:00,63.0,29.496,23.146,25.496,35.798016,27.867973,30.232359,0,0,43854.94,32938.92,15.400001,15.400001,0.0,12.0,13.896187,27.359999,253.66385,19.0,3.7852743
